DATE,MABMM301USM189S
1991-04-01,3332400000000.0
1991-05-01,3343000000000.0
1991-06-01,3351900000000.0
1991-07-01,3356100000000.0
1991-08-01,3355000000000.0
1991-09-01,3354900000000.0
1991-10-01,3360100000000.0
1991-11-01,3365500000000.0
1991-12-01,3372200000000.0
1992-01-01,3381200000000.0
1992-02-01,3400000000000.0
1992-03-01,3403900000000.0
1992-04-01,3399700000000.0
1992-05-01,3398600000000.0
1992-06-01,3393400000000.0
1992-07-01,3393900000000.0
1992-08-01,3398800000000.0
1992-09-01,3410300000000.0
1992-10-01,3423800000000.0
1992-11-01,3426500000000.0
1992-12-01,3424700000000.0
1993-01-01,3419100000000.0
1993-02-01,3414500000000.0
1993-03-01,3411700000000.0
1993-04-01,3411300000000.0
1993-05-01,3436900000000.0
1993-06-01,3442400000000.0
1993-07-01,3442000000000.0
1993-08-01,3445700000000.0
1993-09-01,3452200000000.0
1993-10-01,3456700000000.0
1993-11-01,3470100000000.0
1993-12-01,3474500000000.0
1994-01-01,3474900000000.0
1994-02-01,3475700000000.0
1994-03-01,3480100000000.0
1994-04-01,3481300000000.0
1994-05-01,3490800000000.0
1994-06-01,3479500000000.0
1994-07-01,3488200000000.0
1994-08-01,3485700000000.0
1994-09-01,3486100000000.0
1994-10-01,3484300000000.0
1994-11-01,3487200000000.0
1994-12-01,3486400000000.0
1995-01-01,3492400000000.0
1995-02-01,3489900000000.0
1995-03-01,3491100000000.0
1995-04-01,3499200000000.0
1995-05-01,3524200000000.0
1995-06-01,3548900000000.0
1995-07-01,3567400000000.0
1995-08-01,3589000000000.0
1995-09-01,3602100000000.0
1995-10-01,3613400000000.0
1995-11-01,3619900000000.0
1995-12-01,3629500000000.0
1996-01-01,3647900000000.0
1996-02-01,3661800000000.0
1996-03-01,3687000000000.0
1996-04-01,3697800000000.0
1996-05-01,3709600000000.0
1996-06-01,3722500000000.0
1996-07-01,3737200000000.0
1996-08-01,3744100000000.0
1996-09-01,3753500000000.0
1996-10-01,3772900000000.0
1996-11-01,3795200000000.0
1996-12-01,3818700000000.0
1997-01-01,3834700000000.0
1997-02-01,3846400000000.0
1997-03-01,3861300000000.0
1997-04-01,3877300000000.0
1997-05-01,3889500000000.0
1997-06-01,3906300000000.0
1997-07-01,3924200000000.0
1997-08-01,3957700000000.0
1997-09-01,3973400000000.0
1997-10-01,3992700000000.0
1997-11-01,4015200000000.0
